Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.0,0.3,0.7,0.0,3.0,0,1.57,15.131265603223945,14.580685119632928,14.734614611936987,24.2,15.02940413943355,65.2,15.271361592621036,15.043190661450348,14.540728643216081,11.813466461809325,14.00101851851855,100.0,10.0,21.47,1.02,0.75,16.42
0.15,0.8,0.05,3.0,0.0,1,1.60582,15.131265603223945,15.008992549550662,14.720934210311336,26.0,14.50981884057955,120.0,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,14.36215413943355,110.0,5.0,22.72,1.12,0.7204,18.33
0.05,0.95,0.0,3.05,0.0,1,1.478,13.748588709770196,15.159048660965988,14.720934210311336,72.6,14.50981884057955,150.428,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,25.45,1.09,0.727,20.1
0.07,0.9,0.03,2.76,0.24,1,1.695760000000001,13.748588709770196,13.488257532983164,13.383332009508031,28.0,14.50981884057955,172.0,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,150.0,30.0,24.5,1.08,0.76,20.52
0.0,0.5,0.5,2.0,1.0,1,1.75,13.748588709770196,13.488257532983164,13.383332009508031,22.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,20.0,1.1,0.69,15.3
0.0,0.4,0.6,3.0,0.0,0,1.53,15.131265603223945,11.770393394666886,14.720934210311336,30.6,11.599997776310113,150.22,14.295101705084702,15.043190661450348,14.540728643216081,11.813466461809325,14.198525610001713,100.0,120.0,18.95,0.943,0.731,13.0
0.05,0.76,0.19,2.43,0.57,1,1.695760000000001,13.748588709770196,13.488257532983164,13.383332009508031,46.2,14.241757230595873,91.0,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,102.0,38.6,18.5,0.991,0.7,12.59
0.05,0.7885,0.1615,2.49,0.51,1,1.526575000000001,13.748588709770196,13.485826994546855,14.720934210311336,34.6,13.615021021673606,160.22,14.127791666767372,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,16.84,0.79,0.51,6.78
0.0,0.17,0.83,0.5,2.5,1,2.15,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,133.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,2.8,0.95,0.86,2.3
0.0,0.67,0.33,2.0,1.0,1,1.68,13.748588709770196,13.488257532983164,13.383332009508031,23.2,14.50981884057955,55.2034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,21.4,1.15,0.75,18.5
0.05,0.7885,0.1615,2.49,0.51,1,1.603289999999999,13.748588709770196,15.159048660965988,14.720934210311336,60.0,14.50981884057955,80.0,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,110.0,60.0,16.94,1.06,0.5784,10.42
0.0,1.0,0.0,0.5,2.5,1,2.1,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,9.7,1.06,0.49,5.0
0.0,0.0,1.0,2.4,0.6,1,1.72,15.131265603223945,14.580685119632928,14.720934210311336,46.4,14.19100107926913,74.0,14.127791666767372,14.308424410650709,16.35308226066059,14.99397098367796,16.067433477417786,100.0,34.0,17.3,1.104,0.819,15.6
0.0,0.5,0.5,1.5,1.5,1,1.84,15.131265603223945,15.159048660965988,14.720934210311336,22.2,14.50981884057955,139.2,14.127791666767372,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,10.0,16.19,1.11,0.59,11.1
0.17,0.83,0.0,1.8,1.2,0,1.68654,15.131265603223945,15.405229294435959,14.641134841501426,21.2,15.76762475068065,94.0034,15.271361592621036,16.59485963017334,14.540728643216081,14.864158233543485,14.00101851851855,100.0,30.0,16.1,1.08,0.75,12.7
0.05,0.7885,0.1615,2.49,0.51,1,1.52783142857143,13.748588709770196,13.488257532983164,13.383332009508031,42.208,14.50981884057955,140.2234,14.127791666767372,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,45.0,22.73,1.107,0.72,18.12
0.1,0.765,0.135,2.55,0.45,0,1.67593,15.131265603223945,15.569879212259472,14.720934210311336,30.0,14.50981884057955,176.0,15.271361592621036,14.101014663276032,16.35308226066059,14.234280155654995,14.00101851851855,100.0,54.0,19.81,0.95,0.7,13.41
0.05,0.7885,0.1615,2.49,0.51,1,1.695760000000001,13.748588709770196,13.25423391018072,14.720934210311336,34.6,13.615021021673606,160.22,14.127791666767372,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,14.7,0.83,0.41,5.0
0.15,0.6375,0.2125,2.1,0.9,0,1.74,15.131265603223945,15.405229294435959,14.641134841501426,21.2,15.76762475068065,94.0034,15.422352987268296,15.043190661450348,14.540728643216081,14.99397098367796,14.671736191979742,100.0,30.0,18.0,1.11,0.719,14.4
0.0,0.0,1.0,1.5,1.5,1,1.87,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,6.6,1.12,1.17,8.6
0.05,0.83,0.12,2.61,0.39,1,1.61,13.748588709770196,13.488257532983164,15.231882720498287,32.008,14.50981884057955,190.22,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,50.0,22.51,1.168,0.776,20.2
0.05,0.9,0.05,3.0,0.0,1,1.547190000000001,13.748588709770196,13.488257532983164,13.383332009508031,72.6,14.50981884057955,150.428,14.127791666767372,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,25.32,1.122,0.8365,23.76
0.15,0.6375,0.2125,2.4,0.6,0,1.68,15.131265603223945,15.405229294435959,14.641134841501426,22.2,15.76762475068065,94.0034,15.422352987268296,15.043190661450348,14.540728643216081,14.99397098367796,14.671736191979742,100.0,30.0,19.9,1.1,0.737,16.1
0.05,0.9,0.05,3.0,0.0,1,1.68344,13.748588709770196,13.488257532983164,15.853584570121559,20.016,14.50981884057955,0.07,14.127791666767372,15.043190661450348,14.540728643216081,15.853584570121559,15.90323244283673,100.0,60.0,25.26,1.15,0.84,24.46
0.17,0.83,0.0,1.8,1.2,1,1.79,13.748588709770196,15.569879212259472,14.720934210311336,34.6,14.50981884057955,160.22,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,16.4,1.284,0.687,16.51
0.6,0.0,0.4,1.8,1.2,0,1.81,15.131265603223945,11.770393394666886,14.641134841501426,30.0,15.76762475068065,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,130.0,10.0,1.17,13.9,0.683,11.1
0.05,0.7885,0.1615,2.49,0.51,1,1.69531,13.748588709770196,15.159048660965988,14.720934210311336,60.0,14.334134247393601,80.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,110.0,60.0,19.5,1.05,0.634,13.3
0.05,0.79,0.16,2.45,0.55,1,1.685576666666667,13.748588709770196,13.488257532983164,13.383332009508031,46.2,14.50981884057955,108.0,14.127791666767372,16.59485963017334,16.35308226066059,14.99397098367796,16.067433477417786,110.0,21.6,18.85,1.09,0.6975,14.32
0.05,0.7885,0.1615,2.49,0.51,1,1.554773333333334,13.748588709770196,13.488257532983164,13.383332009508031,30.0,14.50981884057955,50.0314,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.7,1.109,0.74,18.6
