Cs,FA,MA,Pb,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.05,0.87,0.08,1.0,2.76,0.24,0,,ITO,BCP,C,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4/4F-PEAI/Pb(SCN)2,100.0,30.0,22.83,1.035,0.712,16.3
0.05,0.87,0.08,1.0,2.76,0.24,0,,ITO,BCP,C,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,22.35,1.03,0.764,17.7
0.05,0.87,0.08,1.0,2.76,0.24,0,,ITO,BCP,C,,NiOx,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,21.82,0.87,0.783,14.8
0.05,0.87,0.08,1.0,2.76,0.24,0,,ITO,BCP,C,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI/Pb(SCN)2,100.0,30.0,22.92,1.08,0.781,19.2
0.05,0.87,0.08,1.0,2.76,0.24,0,,ITO,BCP,C,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4,100.0,30.0,22.48,1.02,0.712,16.3
0.05,0.87,0.08,1.0,2.76,0.24,0,,ITO,BCP,C,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4/4F-PEAI/Pb(SCN)2,100.0,30.0,22.16,1.05,0.75,17.3
0.05,0.87,0.08,1.0,2.76,0.24,0,,ITO,BCP,C,,PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI/Pb(SCN)2,100.0,30.0,22.0,1.05,0.766,17.7
0.0,0.0,1.0,1.0,2.55,0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.5,1.0254,0.7,14.7
0.0,0.85,0.15,1.0,2.55,0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.04,1.0285,0.72,16.3
0.05,0.8,0.15,1.0,2.55,0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.595,1.065,0.73,17.6
0.05,0.81,0.14,1.0,2.55,0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,,,28.48,1.02,0.5505,15.99
0.05,0.79,0.16,1.0,2.45,0.55,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,,,,,,,18.85,1.09,0.6975,14.32
0.0,0.83,0.17,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.2,1.13,0.64,14.6
0.1,0.747,0.153,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.6,1.11,0.77,20.2
0.2,0.664,0.136,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.8,1.09,0.74,16.8
0.4,0.498,0.102,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.3,1.01,0.71,13.1
0.6,0.332,0.068,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,16.0,0.96,0.7,10.8
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,80.0,spiro,250.0,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,23.5,1.11,0.77,20.1
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,81.0,spiro,251.0,Au,one-step,spin,EA,DMF/DMSO,100.0,60.0,23.3,1.15,0.74,19.8
0.0,0.83,0.17,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,80.0,spiro,250.0,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,23.7,1.11,0.77,20.1
0.1,0.747,0.153,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,80.0,spiro,250.0,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,22.3,1.09,0.73,17.8
0.0,0.83,0.17,1.0,2.49,0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,8.507,1.02,0.4096,3.57
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,16.94,1.06,0.5784,10.42
0.08,0.7636,0.1564,1.0,2.49,0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,21.05,1.09,0.6731,15.58
0.1,0.747,0.153,1.0,2.49,0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,19.11,1.06,0.6374,12.55
0.15,0.7055,0.1445,1.0,2.49,0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,18.57,0.98,0.6123,11.27
0.2,0.664,0.136,1.0,2.49,0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,17.11,0.95,0.5499,8.92
0.08,0.8004,0.1196,1.0,2.641,0.3588,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.13,1.1,0.676,17.82
0.175,0.75,0.075,1.0,2.64,0.36,0,,ITO,PCBM,ZnO,,NiOx,,Ag,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.24,1.09,0.7757,18.14
